"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"506",367618240,"2019-01-01T00:00:04",18.2296,-65.62023,3.3,-198.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"532",377911000,"2019-01-01T00:00:05",17.92048,-65.70587,11.8,-155,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"763",367515760,"2019-01-01T00:00:04",18.44813,-66.08941,0,-158.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"845",338536000,"2019-01-01T00:00:04",18.33531,-65.63116,0,-141.3,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"942",367070680,"2019-01-01T00:00:00",18.45484,-66.11454,16.2,196.3,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"1032",367128950,"2019-01-01T00:00:03",18.44881,-66.10158,3.6,-95.4,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"1812",338071607,"2019-01-01T00:00:02",18.46068,-66.09095,0.5,-122.1,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"1992",368237000,"2019-01-01T00:00:00",18.26789,-65.38463,15.6,74.5,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"2007",366029970,"2019-01-01T00:00:02",18.46113,-66.09346,0,-101.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"2047",563545000,"2019-01-01T00:00:01",18.49937,-66.12994,8.7,0.4,1,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"2693",367307990,"2019-01-01T00:00:07",17.99398,-65.77581,6.1,-184.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"3419",366995010,"2019-01-01T00:00:08",18.44772,-66.09108,0.1,-136.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"4466",671932000,"2019-01-01T00:00:20",18.46302,-66.10326,0.1,17.3,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"5127",367396910,"2019-01-01T00:00:36",17.93684,-66.15604,0,-129.5,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"5330",367015490,"2019-01-01T00:00:45",18.05357,-65.83673,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"5378",368025180,"2019-01-01T00:01:00",18.45993,-66.08805,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"5396",338210327,"2019-01-01T00:00:53",18.28827,-65.63513,0,53.5,511,"POTENCIA","","",37,NA,15,NA,NA,NA,"B"
"5436",636018640,"2019-01-01T00:00:38",18.42958,-66.10724,0.1,-153.7,195,"","","",NA,5,NA,NA,NA,NA,"A"
"5740",368028920,"2019-01-01T00:00:10",17.9007,-65.04509,9.2,155.1,151,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"5926",367733250,"2019-01-01T00:00:38",18.45997,-66.08805,0,80,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"6062",368008070,"2019-01-01T00:01:02",18.28734,-65.63242,0,-134.3,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"6166",367781630,"2019-01-01T00:01:09",18.4502,-66.10073,0,47,135,"EL COQUI","IMO9721968","WDJ4838",70,5,219,NA,NA,NA,"A"
"6256",367592540,"2019-01-01T00:01:03",18.30781,-65.2902,0.4,123,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"6332",367070680,"2019-01-01T00:01:02",18.44973,-66.11585,19,193.8,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"6386",368237000,"2019-01-01T00:01:06",18.26921,-65.37987,15.7,68,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"6747",230185000,"2019-01-01T00:01:07",18.44861,-66.08982,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"7206",338536000,"2019-01-01T00:01:05",18.33532,-65.63115,0.1,-127.8,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"7216",338162314,"2019-01-01T00:01:10",18.3417,-65.63868,0,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"7394",563545000,"2019-01-01T00:01:11",18.50216,-66.12991,8.6,0.8,2,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"7536",366029970,"2019-01-01T00:01:12",18.46111,-66.09347,0,-109.6,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"7625",367128950,"2019-01-01T00:01:12",18.44954,-66.10153,2.7,40.3,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"7798",338071607,"2019-01-01T00:01:12",18.46068,-66.09094,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"7804",235084084,"2019-01-01T00:01:12",18.4591,-66.08996,0,66.9,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"8240",367515760,"2019-01-01T00:01:14",18.44817,-66.08939,0,-144.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"8271",367618240,"2019-01-01T00:01:14",18.22781,-65.62103,8.9,194.7,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"8467",377911000,"2019-01-01T00:01:15",17.91947,-65.70975,11.8,-154.7,247,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"8558",338142008,"2019-01-01T00:01:34",18.30411,-65.2964,0.2,-92.3,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"9017",367307990,"2019-01-01T00:01:16",17.99256,-65.77733,5.7,-189.9,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"9600",319089300,"2019-01-01T00:01:22",18.45983,-66.09014,0,148.4,276,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"9659",366995010,"2019-01-01T00:01:18",18.44773,-66.09109,0.1,-128.5,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"9678",368028920,"2019-01-01T00:01:11",17.8984,-65.04417,9,154.7,154,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"10506",367574560,"2019-01-01T00:01:28",18.28671,-65.63244,0,-153.4,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"10529",246506000,"2019-01-01T00:01:53",18.46285,-66.11035,0,-56.4,353,"VEENDAM","IMO9102992","PHEO",60,5,219,30,7.7,69,"A"
"10637",338098422,"2019-01-01T00:01:19",18.28619,-65.63282,0,0,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"10717",368014910,"2019-01-01T00:01:14",17.937,-66.15599,0,-141.7,511,"","","",NA,5,NA,NA,NA,NA,"A"
"10770",366722810,"2019-01-01T00:01:49",18.45983,-66.08795,0,163.9,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"11163",338760000,"2019-01-01T00:01:39",18.43524,-66.09498,0,-188.5,58,"ISLA BELLA","IMO9680841","WTOI",70,5,233,32,10.4,NA,"A"
"11231",338138014,"2019-01-01T00:01:48",18.45952,-66.0882,0,143,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"11374",367719070,"2019-01-01T00:02:09",18.28749,-65.63335,0,-60.9,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"11730",338536000,"2019-01-01T00:02:13",18.33532,-65.63115,0,-127.2,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"12143",367070680,"2019-01-01T00:02:08",18.44543,-66.11695,9.9,184.9,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"12456",367396880,"2019-01-01T00:01:59",17.93666,-66.15602,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"12497",368237000,"2019-01-01T00:02:12",18.27078,-65.3752,15.1,69.8,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"12612",563545000,"2019-01-01T00:02:21",18.50504,-66.12983,8.7,1.3,1,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"12619",366029970,"2019-01-01T00:02:22",18.46112,-66.09346,0,-107.1,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"12961",316015468,"2019-01-01T00:02:17",18.4586,-66.0913,0.1,-188.2,511,"GRONINGER","","CHA2001",36,NA,NA,NA,NA,NA,"B"
"13341",367723910,"2019-01-01T00:01:52",18.289,-65.63447,0.1,128.6,511,"MARIMAR","","WDI6952",37,NA,NA,NA,NA,NA,"B"
"13555",368020590,"2019-01-01T00:02:05",18.30507,-65.29881,0.2,164,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"13881",367128950,"2019-01-01T00:02:23",18.45025,-66.10121,0.8,14.8,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"14057",338071607,"2019-01-01T00:02:21",18.46069,-66.09094,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"14339",367649980,"2019-01-01T00:02:22",18.28741,-65.63308,0.1,-173.6,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"14814",367730640,"2019-01-01T00:02:24",18.2871,-65.63304,0.1,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"14888",367515760,"2019-01-01T00:02:24",18.44817,-66.08942,0,-146,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"15171",367618240,"2019-01-01T00:02:25",18.22487,-65.62167,10.1,185.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"15529",367307990,"2019-01-01T00:02:28",17.99113,-65.77888,6.3,-178,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"15654",366995010,"2019-01-01T00:02:28",18.44773,-66.09109,0.1,-129.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"16306",377911000,"2019-01-01T00:02:26",17.91842,-65.71365,11.8,-155.4,244,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"16585",367555530,"2019-01-01T00:02:47",18.05349,-65.83681,0,-64.6,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"16782",368028920,"2019-01-01T00:02:41",17.89499,-65.04272,9.1,163.2,158,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"17009",338173000,"2019-01-01T00:02:43",18.22954,-65.61982,0,-153.7,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"17100",367774870,"2019-01-01T00:02:45",18.30289,-65.2984,0.3,155.9,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"17267",235115017,"2019-01-01T00:02:31",18.07867,-65.79699,0.2,93.1,511,"ZIGZAG DE VILLENEUVE","","2JDM3",36,NA,NA,NA,NA,NA,"B"
"17384",338109829,"2019-01-01T00:02:44",18.33943,-65.63137,0,-164.3,511,"EL ARQUERO","","",37,NA,14,NA,NA,NA,"B"
"18013",367529160,"2019-01-01T00:02:54",18.44836,-66.08924,0,-148.1,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"18076",367070680,"2019-01-01T00:03:13",18.44389,-66.11684,1.8,149.8,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"18083",366995010,"2019-01-01T00:03:30",18.44775,-66.09108,0,-122.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"18569",367128950,"2019-01-01T00:03:32",18.45034,-66.10127,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"18611",367396910,"2019-01-01T00:03:36",17.93679,-66.15605,0,-145.7,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"18711",339758000,"2019-01-01T00:03:14",18.45892,-66.09023,0,-49.6,511,"","","",NA,5,NA,NA,NA,NA,"A"
"19340",368237000,"2019-01-01T00:03:17",18.2724,-65.37063,15.3,68.5,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"19379",366029970,"2019-01-01T00:03:33",18.46113,-66.09347,0,-119.7,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"19420",338536000,"2019-01-01T00:03:24",18.33532,-65.63114,0,-127,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"19458",338071607,"2019-01-01T00:03:42",18.46068,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"19636",671932000,"2019-01-01T00:03:20",18.46303,-66.10329,0.1,7.9,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"20226",367744930,"2019-01-01T00:03:28",18.28865,-65.63337,0,114.5,511,"RESPIRE","","WDI9068",37,NA,NA,NA,NA,NA,"B"
"20889",367618240,"2019-01-01T00:03:35",18.22158,-65.62179,10,181.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"20935",563545000,"2019-01-01T00:03:33",18.50787,-66.12979,8.7,0.2,0,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"21315",367515760,"2019-01-01T00:03:34",18.44815,-66.08941,0,-128.4,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"A"
"22328",367733250,"2019-01-01T00:03:38",18.45995,-66.08806,0,80,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"22475",636018640,"2019-01-01T00:03:38",18.42958,-66.10722,0.1,-130.5,195,"","","",NA,5,NA,NA,NA,NA,"A"
"22733",367015490,"2019-01-01T00:03:43",18.05358,-65.83673,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"22782",368001090,"2019-01-01T00:03:42",18.34335,-65.5705,0.2,117.1,511,"AZULITA","","WDJ6876",36,NA,NA,NA,NA,NA,"B"
"22871",368025180,"2019-01-01T00:04:00",18.4599,-66.08804,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"23402",367070680,"2019-01-01T00:04:19",18.4438,-66.11677,0,-49.6,511,"COVADONGA","","WDI5647",60,0,22,8,NA,NA,"B"
"23480",377911000,"2019-01-01T00:03:36",17.91735,-65.71758,11.8,-155.5,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"23596",367307990,"2019-01-01T00:03:37",17.98978,-65.78037,6.1,-174.4,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"23728",367775170,"2019-01-01T00:03:58",18.28787,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"23874",368028920,"2019-01-01T00:04:11",17.89154,-65.04125,8.3,158.8,156,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"24133",367781630,"2019-01-01T00:04:05",18.4502,-66.10074,0,47,135,"EL COQUI","IMO9721968","WDJ4838",70,5,219,NA,NA,NA,"A"
"24223",338162314,"2019-01-01T00:04:08",18.34171,-65.63868,0.1,0,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"24315",338760000,"2019-01-01T00:04:43",18.43525,-66.09499,0,-188.5,58,"ISLA BELLA","IMO9680841","WTOI",70,5,233,32,10.4,NA,"A"
"24443",319089300,"2019-01-01T00:04:22",18.45982,-66.09014,0,61.4,275,"HATT MILL","IMO9642112","ZGFG3",37,5,46,NA,NA,NA,"A"
"24703",368237000,"2019-01-01T00:04:24",18.27414,-65.36602,15.8,71.5,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"24820",366995010,"2019-01-01T00:04:38",18.44775,-66.09108,0,-117.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"24875",338098422,"2019-01-01T00:04:19",18.28619,-65.63278,0,-177.6,511,"EMPTY POCKET","","",37,NA,NA,NA,NA,NA,"B"
"24893",367128950,"2019-01-01T00:04:43",18.45032,-66.10125,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"25532",338142008,"2019-01-01T00:04:34",18.30403,-65.29634,0.1,-185.9,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"25579",367574560,"2019-01-01T00:04:28",18.28672,-65.63244,0,-157.1,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"25732",338071607,"2019-01-01T00:04:52",18.46069,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"25786",338536000,"2019-01-01T00:04:34",18.33532,-65.63114,0,-128.6,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"25991",230185000,"2019-01-01T00:04:07",18.44865,-66.0898,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"26190",235084084,"2019-01-01T00:04:12",18.45908,-66.08995,0,66.9,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"26473",367515760,"2019-01-01T00:04:43",18.44815,-66.08939,0,-139.9,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"26652",368014910,"2019-01-01T00:04:18",17.937,-66.15599,0,-144.1,511,"","","",NA,5,NA,NA,NA,NA,"A"
"27087",366029970,"2019-01-01T00:04:41",18.46113,-66.09346,0,-122,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"27752",377911000,"2019-01-01T00:04:45",17.91634,-65.72138,11.9,-154.9,246,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"27869",367618240,"2019-01-01T00:04:45",18.2183,-65.6214,10.3,167.5,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"27887",338138014,"2019-01-01T00:04:48",18.45953,-66.08822,0,49.7,511,"ANAMARINA","","",37,NA,19,NA,NA,NA,"B"
"27954",316015468,"2019-01-01T00:05:17",18.45862,-66.09131,0.1,-188.2,511,"GRONINGER","","CHA2001",36,NA,NA,NA,NA,NA,"B"
"27974",246506000,"2019-01-01T00:04:53",18.46285,-66.11035,0,-56.4,353,"VEENDAM","IMO9102992","PHEO",60,5,219,30,7.7,69,"A"
"28118",367307990,"2019-01-01T00:04:47",17.98841,-65.7819,6.6,-179.1,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"28206",366722810,"2019-01-01T00:04:47",18.45986,-66.08799,0,165.2,511,"VAYPE","","WCW7684",37,NA,15,4,NA,NA,"B"
"28678",367396880,"2019-01-01T00:05:02",17.93667,-66.15603,0,-49.6,511,"PROASSIST I","IMO8851041","WDE7727",31,5,33,10,NA,NA,"A"
"28732",368020590,"2019-01-01T00:05:04",18.3051,-65.29883,0.2,-107.4,511,"LULU","IMO0000000","WDJ8864",36,NA,16,5,NA,NA,"B"
"28924",367433610,"2019-01-01T00:04:56",18.28734,-65.63232,0,-153.8,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"29334",367719070,"2019-01-01T00:05:08",18.28749,-65.63335,0,-60.9,511,"CHATEAU DU MER","","WDI6475",37,NA,NA,NA,NA,NA,"B"
"29398",563545000,"2019-01-01T00:04:42",18.51068,-66.12985,8.7,-51,0,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"30565",338536000,"2019-01-01T00:05:43",18.33532,-65.63115,0,-136.6,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"30890",367730640,"2019-01-01T00:05:23",18.2871,-65.63304,0,83.8,511,"STELLA","","WDI7637",37,NA,NA,NA,NA,NA,"B"
"31015",367649980,"2019-01-01T00:05:21",18.28744,-65.63306,0,-185.8,511,"DIFFERENCE","","WDH7624",37,NA,16,NA,NA,NA,"B"
"31132",367307990,"2019-01-01T00:05:56",17.98703,-65.78339,6.2,-178.3,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"31342",368237000,"2019-01-01T00:05:30",18.276,-65.36147,15.5,71,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"31470",338238828,"2019-01-01T00:05:33",17.95495,-66.29216,0,-49.6,511,"SWEET KARMA","IMO0000000","",37,NA,13,4,NA,NA,"B"
"31475",235115017,"2019-01-01T00:05:30",18.07868,-65.79698,0.1,93.1,511,"ZIGZAG DE VILLENEUVE","","2JDM3",36,NA,NA,NA,NA,NA,"B"
"31751",563545000,"2019-01-01T00:06:02",18.51391,-66.12993,8.7,-50.4,0,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
"32067",368028920,"2019-01-01T00:05:39",17.88811,-65.03991,8.9,156.3,157,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"32258",338173000,"2019-01-01T00:05:45",18.22956,-65.6198,0,-153.7,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"32546",366029970,"2019-01-01T00:06:12",18.4611,-66.09345,0,-108.4,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"32733",257539680,"2019-01-01T00:05:47",18.30654,-65.2989,0.2,-64.9,511,"BLUE","","LK7816",36,NA,NA,NA,NA,NA,"B"
"32840",367555530,"2019-01-01T00:05:47",18.0535,-65.83679,0.1,12.8,511,"PRO ASSIST III","IMO8644395","WDG5696",31,5,33,8,NA,NA,"A"
"32973",367774870,"2019-01-01T00:05:47",18.30288,-65.2984,0.3,153.7,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"33044",366995010,"2019-01-01T00:05:48",18.44774,-66.09109,0,-117.2,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"33543",367515760,"2019-01-01T00:05:52",18.44819,-66.0894,0,-133.1,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"33778",367529160,"2019-01-01T00:05:54",18.44832,-66.08926,0.1,-125.8,511,"HANDY THREE","","WDG3740",31,5,21,NA,NA,52,"A"
"34169",367618240,"2019-01-01T00:06:22",18.21336,-65.61923,14.7,141.6,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"34177",377911000,"2019-01-01T00:05:56",17.91528,-65.72538,11.8,-154.9,245,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"34326",367128950,"2019-01-01T00:05:53",18.45031,-66.10123,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"34913",338071607,"2019-01-01T00:06:01",18.46069,-66.09095,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"36215",671932000,"2019-01-01T00:06:20",18.46304,-66.10327,0,10.6,511,"NORMA H II","IMO7228716","5VFB9",70,5,51,11,3.6,70,"A"
"36795",368025180,"2019-01-01T00:07:01",18.4599,-66.08806,0,78.9,511,"M/V DEMENCIA","IMO0000000","WDJ9348",37,NA,18,10,NA,NA,"B"
"36817",367128950,"2019-01-01T00:07:02",18.45032,-66.10123,0,-49.6,511,"DOROTHY MCALLISTER","IMO8980933","WDD3325",31,0,33,9,4.3,NA,"B"
"37134",367733250,"2019-01-01T00:06:38",18.46,-66.08809,0,80,511,"LADY ABI II","","WDI7892",37,NA,NA,NA,NA,NA,"B"
"37137",230185000,"2019-01-01T00:07:07",18.44863,-66.08982,0,-90.2,213,"MIMER","IMO9002647","OIZX",70,5,108,17,6,71,"A"
"37207",368237000,"2019-01-01T00:06:36",18.27772,-65.35676,15,70.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"37478",636018640,"2019-01-01T00:06:38",18.42957,-66.10724,0.1,-190.5,195,"","","",NA,5,NA,NA,NA,NA,"A"
"37752",367015490,"2019-01-01T00:06:44",18.05357,-65.83673,0,-49.6,511,"PEDRITO","IMO8654405","WDC3864",31,5,23,10,NA,NA,"A"
"38037",366029970,"2019-01-01T00:07:22",18.46113,-66.09346,0,-111.5,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
"38641",367515760,"2019-01-01T00:06:54",18.44814,-66.08942,0,-136,511,"DIANE MORAN","IMO9253612","WDG2450",31,0,28,9,3.5,NA,"B"
"38706",338536000,"2019-01-01T00:06:54",18.33532,-65.63116,0.1,-142,32,"HILDA LAB","IMO9564322","WKDT",90,0,79,18,4.9,38,"B"
"38797",367618240,"2019-01-01T00:07:29",18.21006,-65.61573,15,132.6,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"39157",367396910,"2019-01-01T00:06:35",17.93685,-66.15604,0,-113.5,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"39207",367307990,"2019-01-01T00:07:07",17.98564,-65.78493,6.1,-194.5,511,"PUNTA BORINQUEN","IMO6707105","WCX8202",31,11,29,8,3.6,NA,"B"
"39287",367775170,"2019-01-01T00:06:58",18.28787,-65.6356,0,88.7,511,"STRESS RELEASE","","WDJ4176",37,NA,NA,NA,NA,NA,"B"
"39318",338071607,"2019-01-01T00:07:02",18.46068,-66.09096,0,-49.6,511,"HARBOR MIRACLE","","",NA,0,12,NA,NA,NA,"B"
"39378",366995010,"2019-01-01T00:06:59",18.44773,-66.09108,0.1,-125.4,511,"BETH M MCALLISTER","IMO8980919","WCZ8598",31,15,33,9,4.3,0,"B"
"39474",368008070,"2019-01-01T00:07:02",18.28735,-65.63241,0.1,-134.3,511,"SALT AIR","","WDJ7579",36,NA,NA,NA,NA,NA,"B"
"39951",367592540,"2019-01-01T00:07:03",18.30787,-65.29026,0.2,158.9,511,"HADA","","WDG9920",37,NA,14,NA,NA,NA,"B"
"40355",377911000,"2019-01-01T00:07:05",17.91426,-65.72919,11.8,-154.9,245,"TROPIC PALM","IMO7625964","J8PB",70,0,100,21,4.7,70,"B"
"40404",368028920,"2019-01-01T00:07:10",17.88463,-65.03854,9.4,165.8,155,"SKY","IMO0000000","WDJ9741",36,NA,18,4,NA,NA,"B"
"40794",367781630,"2019-01-01T00:07:09",18.45022,-66.10072,0,47,135,"EL COQUI","IMO9721968","WDJ4838",70,5,219,NA,NA,NA,"A"
"40881",235084084,"2019-01-01T00:07:12",18.45908,-66.08997,0,66.9,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"40920",563545000,"2019-01-01T00:07:12",18.51666,-66.12993,8.7,-50,1,"MINERVA","IMO9694426","9V3400",NA,0,188,NA,NA,NA,"B"
