"","MMSI","BaseDateTime","LAT","LON","SOG","COG","Heading","VesselName","IMO","CallSign","VesselType","Status","Length","Width","Draft","Cargo","TranscieverClass"
"4891204",367367040,"2019-01-01T16:03:47",18.28644,-65.25926,6.3,49.2,511,"RESOLUTE","","WDE5459",37,NA,16,4,NA,NA,"B"
"4891231",366915910,"2019-01-01T16:04:09",18.26863,-65.57802,28.8,161.6,158,"BIG CAT EXPRESS","IMO9316751","WDB5980",60,0,46,10,1.4,NA,"B"
"4891441",338173000,"2019-01-01T16:03:50",18.22972,-65.62006,0,-174.2,511,"MR CADE","IMO9307774","WDH4027",60,5,49,9,1.9,NA,"A"
"4891776",367774870,"2019-01-01T16:04:07",18.29547,-65.2797,5,129.1,511,"SHANNON","","WDJ4148",37,NA,NA,NA,NA,NA,"B"
"4892033",338162314,"2019-01-01T16:04:08",18.3417,-65.6387,0,-66.2,511,"TOMAHAWK","","",37,NA,18,NA,NA,NA,"B"
"4892113",368014910,"2019-01-01T16:04:25",17.93703,-66.15596,0,-168.2,511,"","","",NA,5,NA,NA,NA,NA,"A"
"4892302",235084084,"2019-01-01T16:04:14",18.4591,-66.08995,0.1,183.3,511,"JOSEFINA","","MLCV5",36,NA,NA,NA,NA,NA,"B"
"4892432",368237000,"2019-01-01T16:03:32",18.22924,-65.61928,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4892867",338142008,"2019-01-01T16:04:34",18.30421,-65.29657,0.2,-81.4,511,"WHISKEY HOTEL","IMO0000000","WDG6156",37,NA,27,8,NA,NA,"B"
"4893018",367574560,"2019-01-01T16:04:28",18.28672,-65.63245,0,-151,511,"GABEA","","WDG8155",37,NA,20,NA,NA,NA,"B"
"4893033",368585000,"2019-01-01T16:04:28",18.32227,-65.32971,0.4,-114.1,511,"SERENITY","","WDJ7586",37,NA,15,NA,NA,NA,"B"
"4893160",367433610,"2019-01-01T16:04:33",18.29823,-65.46793,13.4,93.7,511,"DEJA VU","","WDF2928",37,NA,22,6,NA,NA,"B"
"4893372",367618240,"2019-01-01T16:04:32",18.15262,-65.44455,1.8,109.7,511,"MR EVAN","IMO8964173","WDH4485",60,0,44,8,1.8,NA,"B"
"4893428",368237000,"2019-01-01T16:04:33",18.22924,-65.61927,0,-49.6,511,"CAYO LARGO","IMO9535113","WDE5350",60,0,50,14,2.1,NA,"B"
"4893890",367396910,"2019-01-01T16:03:37",17.93685,-66.15602,0,192.1,511,"ALEJANDRO","IMO7606633","WDE7729",31,5,34,10,3.7,52,"A"
"4894574",366029970,"2019-01-01T16:04:42",18.46111,-66.09344,0,-191.3,511,"DOCTOR D","IMO8941597","WAJ2549",52,15,0,0,4,52,"B"
